区域,卧室数,客厅数,房屋面积,楼层高低,是否是地铁房,是否是学区房,价格（万/m2）
东城,3,1,115.7,低,1,0,7.08
西城,2,1,61.5,低,1,1,10.81
朝阳,3,1,71.2,中,1,0,5.58
朝阳,1,1,50.6,低,1,0,6.66
朝阳,2,2,98.3,高,1,0,6.75
海淀,3,2,98,低,1,0,8.12
石景山,2,1,88.9,中,1,0,6.19
石景山,2,1,77.6,中,0,0,4.14
海淀,1,1,46.6,高,0,0,5.6
海淀,2,1,72.9,低,0,0,6.32
东城,4,2,224.9,低,1,0,6.59
丰台,1,1,80.7,高,0,0,4.93
丰台,3,1,145,低,0,0,4.83
西城,1,1,69.6,低,1,1,9.57
西城,2,1,109.6,高,1,0,8.57
西城,3,1,77.7,中,1,1,10.47
海淀,4,2,198.7,高,0,0,6.57
丰台,2,1,85.6,高,1,0,3.92
朝阳,3,1,136.7,低,1,1,4.56
西城,3,1,68.6,低,1,1,9.74
东城,2,1,128.8,中,1,1,6
西城,2,0,50.6,高,1,0,7.98
石景山,1,1,44.7,低,0,0,4.6
东城,3,2,154.2,中,0,0,5.33
西城,3,1,89.6,中,1,1,8.41
东城,2,2,95.8,中,1,1,7.56
西城,1,1,43,低,1,1,8.87
西城,2,1,61.5,低,1,1,8.55
朝阳,2,1,118.6,低,1,1,4.67
海淀,3,2,142.4,中,1,0,5.73
海淀,3,1,125.3,高,0,0,6
海淀,3,2,128.5,低,1,0,5.38
海淀,3,2,132.2,低,0,0,5.95
石景山,2,1,55.8,高,1,0,3.69
石景山,1,1,55.5,低,1,0,4.11
东城,2,1,75,高,1,1,8.94
西城,1,0,39.1,低,1,0,8.32
海淀,2,1,82.8,中,1,1,9.91
朝阳,2,1,74.1,低,1,0,5.71
石景山,1,1,76.1,高,1,0,4.97
西城,2,1,78.4,中,1,1,9.18
东城,2,1,157.2,低,1,1,7.87
东城,3,2,139.4,高,1,0,7.97
朝阳,3,1,96.4,低,1,0,5.47
海淀,2,1,69.1,高,0,0,6.49
海淀,2,1,97.7,中,1,0,7.57
西城,3,1,82.2,高,1,1,10.7
丰台,2,1,95.7,低,1,0,5.63
石景山,1,1,69,中,1,0,4.44
海淀,2,1,89.5,低,1,1,8.47
西城,2,2,62,中,1,1,11.81
东城,4,2,199.9,低,1,0,6.79
海淀,1,1,49.4,高,0,0,5.47
西城,3,1,96.3,高,1,0,7.44
东城,3,1,77.3,高,1,0,7.46
朝阳,1,1,67.2,高,1,0,5.46
海淀,2,1,59.7,高,1,0,8.41
东城,1,0,144.9,低,1,1,5.84
海淀,3,2,168.9,中,1,0,5.88
丰台,2,1,99.1,低,1,1,4.62
丰台,2,1,66.4,低,1,0,5.22
丰台,1,1,59.2,低,0,0,3.6
海淀,3,2,132,低,1,0,5.85
石景山,1,1,48.3,高,1,0,5.01
西城,2,1,61.2,低,1,0,9.5
海淀,1,1,62.1,中,1,1,8.03
朝阳,2,0,56.4,低,1,0,6.48
丰台,3,1,76.1,高,0,0,4.66
东城,1,1,93.5,高,1,0,7.22
西城,2,1,54.9,高,1,0,8.06
朝阳,1,2,89.3,高,1,0,5.28
朝阳,4,2,156.6,高,1,0,5.96
丰台,2,1,95.5,高,0,0,3.88
朝阳,3,2,151.5,高,1,0,5.82
朝阳,3,1,82.2,低,1,0,4.93
朝阳,2,1,55.1,低,1,0,4.6
丰台,2,0,51.5,中,1,0,4.86
海淀,1,1,47.9,中,1,0,7.23
朝阳,3,2,136.9,高,1,0,4.7
朝阳,2,1,105.8,低,1,0,6
丰台,2,2,101.6,低,1,1,4.5
石景山,2,1,90.4,高,1,0,4.61
西城,3,1,104.4,高,1,0,6.65
东城,1,1,77.2,低,1,0,5.45
东城,4,2,118.4,低,1,0,7.3
海淀,2,0,65.8,高,1,0,7.48
石景山,2,1,82,中,0,0,4.88
丰台,2,1,86.8,高,1,0,4.38
朝阳,3,2,146.7,中,1,0,6.83
海淀,2,0,63.2,中,1,0,5.66
东城,3,1,110.1,高,1,0,8.14
石景山,2,1,72.3,高,1,0,4.08
海淀,3,0,56.4,低,0,0,5.51
石景山,2,1,80.6,低,1,0,3.81
东城,2,1,84.1,低,0,0,5.48
海淀,3,0,62.8,低,0,1,5.88
西城,2,1,53.5,中,1,1,8.9
石景山,3,1,48.6,高,0,0,3.83
西城,2,1,63.9,低,1,1,10.16
西城,2,1,60.1,中,1,0,8.98
东城,1,1,62.2,中,1,0,6.15
西城,3,0,67.5,中,1,0,8.95
东城,1,1,54.6,低,1,1,9.99
朝阳,2,1,68,中,1,0,5.84
海淀,2,1,59,低,1,1,8.51
东城,2,1,59.3,高,1,1,7.64
东城,1,0,47.7,低,1,1,6.99
东城,3,1,81.7,中,1,0,9.51
东城,2,1,55.4,高,1,1,9.12
朝阳,2,1,139.1,中,1,0,5.67
朝阳,3,1,75.2,低,1,1,5.05
西城,1,1,49.1,低,1,1,8.37
西城,3,1,73,高,1,1,8.84
朝阳,3,2,219.4,低,1,0,6.12
石景山,1,0,34.3,中,1,0,4.09
丰台,1,1,59.9,低,1,0,4.45
丰台,1,0,59.1,低,1,0,4.99
朝阳,2,1,97.6,中,1,0,5.61
朝阳,2,1,63.4,高,1,0,4.57
海淀,1,1,72.4,中,1,0,5.55
丰台,2,2,99.5,中,0,0,4.76
西城,3,1,58.2,中,1,1,9.42
海淀,1,1,84.6,中,1,0,7.63
丰台,2,2,93.4,低,0,0,5.42
朝阳,3,2,147.4,中,1,0,4.94
东城,3,1,89.6,高,1,0,8.25
西城,2,1,53.5,中,0,1,8.84
海淀,3,1,166.2,中,0,1,6.86
石景山,2,1,80.7,中,0,0,4.24
西城,2,1,60.4,高,1,1,7.66
海淀,2,2,100.2,低,1,0,5.36
东城,2,1,58.2,高,1,1,8.51
朝阳,3,2,148,中,1,1,6.77
丰台,2,1,51.9,高,1,0,3.98
西城,2,1,54.1,中,1,1,10.17
朝阳,2,1,58.8,低,1,0,6.07
海淀,3,2,201.2,中,1,0,7.41
海淀,2,1,94.1,低,1,1,6.79
朝阳,4,2,197.4,中,0,0,5.31
石景山,2,2,106.9,低,1,0,5.42
丰台,2,1,106.1,中,1,0,4.96
海淀,2,2,114.8,低,0,1,7.36
丰台,1,0,56.3,中,1,0,4.21
东城,3,1,217.3,低,1,0,7.41
西城,2,1,99.2,高,1,0,9.26
海淀,3,1,113.4,中,1,0,6.14
海淀,3,2,94.1,高,1,0,5.41
海淀,2,2,103.2,低,1,0,7.5
东城,2,2,84.8,高,1,1,9.38
东城,1,1,60.2,低,1,0,6.22
石景山,1,1,63,低,0,0,5.01
西城,2,1,54.2,低,1,1,11.11
朝阳,2,2,78.2,低,1,0,6.1
东城,3,1,69.6,高,1,1,6.79
石景山,2,1,62.7,高,1,0,4.95
丰台,1,1,31.9,中,1,0,4.25
西城,2,1,75.7,高,1,1,8.36
东城,2,1,60.2,中,1,0,7.35
东城,1,0,43.2,高,1,0,6.66
朝阳,1,1,37.9,高,1,0,5.05
丰台,3,2,116.5,低,1,0,4.43
石景山,3,2,206.9,低,0,0,6.1
朝阳,2,1,90.3,高,1,1,6.38
西城,2,1,84.1,高,0,0,6.09
西城,3,2,96.6,中,0,1,9.63
丰台,2,1,50.6,中,0,0,5.46
丰台,3,1,127.4,低,1,0,4.33
海淀,1,1,69.8,中,0,1,6.07
石景山,2,1,101.8,低,0,0,3.67
丰台,3,2,130.1,低,1,0,4.5
西城,2,1,54.3,低,1,0,9.97
海淀,3,2,144.3,中,1,0,5.61
朝阳,3,2,154.6,中,1,0,6.11
海淀,3,1,70.2,高,1,0,8.04
朝阳,3,2,138.4,低,0,0,5.16
东城,2,1,43.6,中,1,1,9.7
海淀,4,2,193.7,中,1,0,7.38
海淀,2,1,54.9,中,0,0,6.6
西城,1,1,55.6,高,1,1,11.43
西城,2,2,111.4,高,1,1,9.13
西城,2,1,51.1,高,1,1,9.85
东城,2,1,76,高,0,0,4.42
朝阳,1,1,59.6,中,0,0,4.44
海淀,3,1,76.9,高,1,1,6.88
海淀,2,1,58.4,高,1,0,7.15
丰台,2,1,64.7,中,1,0,4.5
海淀,1,1,50.1,高,1,0,5.91
海淀,1,0,44.2,低,1,1,8.92
朝阳,2,1,96.5,中,1,0,5.89
朝阳,3,1,145.9,低,1,0,4.92
海淀,1,1,43.6,低,0,0,5.55
朝阳,3,2,156.2,中,1,1,6.89
海淀,4,1,171.3,中,1,1,6.43
朝阳,3,1,134.7,中,1,0,4.5
海淀,3,2,165.6,低,0,0,7.65
西城,2,1,91.4,低,1,0,8.02
海淀,5,2,239.1,低,1,1,8.65
东城,2,1,92.8,中,1,0,6.71
东城,3,1,62.5,高,1,0,9.12
东城,2,2,65.4,高,1,0,6.31
丰台,2,2,81.9,低,1,0,4.45
海淀,2,2,74.7,低,1,1,7.35
东城,2,1,97.4,中,1,0,6.54
丰台,2,1,86.2,中,1,0,4.57
西城,1,1,54.5,高,1,0,8.84
海淀,4,2,150.4,高,0,1,5.92
石景山,4,2,194.1,低,1,0,6.48
东城,3,1,68.6,中,1,0,7.13
西城,1,1,48.1,中,1,0,9.94
丰台,2,1,58.1,高,1,0,5.05
西城,2,1,108.3,低,1,1,8.5
朝阳,3,2,149.4,低,1,0,6.4
丰台,2,1,105.3,中,0,0,4.21
海淀,3,2,117.2,中,0,1,7.24
东城,2,1,69.2,中,1,1,10
朝阳,3,2,150.5,中,0,0,5.24
丰台,2,1,68.1,高,1,0,5.31
西城,3,1,181.7,中,0,0,6.1
朝阳,1,1,56.1,高,1,0,4.49
东城,2,1,98.1,中,1,1,8.5
西城,3,1,86.1,中,1,1,9.93
朝阳,2,1,60.5,低,1,0,4.87
东城,2,1,114.3,低,0,0,4.61
朝阳,3,2,135.6,低,1,0,5.91
石景山,1,1,66,低,0,0,4.31
石景山,2,1,58.1,高,0,0,3.33
朝阳,3,2,138.5,高,1,0,6.57
丰台,3,2,147.4,低,0,0,5.29
朝阳,2,1,93.7,高,1,0,5.33
朝阳,3,2,131.6,低,1,0,4.96
海淀,2,1,88,中,1,1,6.93
海淀,2,1,63.2,高,1,0,7.01
西城,1,0,33.6,高,1,0,6.57
朝阳,2,1,104.7,中,1,0,5.58
朝阳,3,1,103.3,低,1,0,4.73
丰台,1,1,57.2,中,1,0,5.12
西城,1,1,42.9,中,1,1,9.86
海淀,2,1,70.9,中,1,0,5.57
东城,2,1,70.8,高,1,0,7.16
海淀,3,2,130.7,低,1,0,7.11
东城,4,2,177.4,高,1,1,8.65
东城,1,1,60.7,高,1,0,7.47
东城,2,1,54.9,中,1,0,7.58
海淀,2,2,148.8,高,1,0,6.02
丰台,2,1,76.2,高,1,0,5.51
西城,2,1,68.2,低,1,1,10.42
朝阳,2,2,91.2,低,1,0,7.1
丰台,3,2,168.9,低,0,0,5.27
海淀,3,1,80,低,1,1,7.03
朝阳,2,1,89.7,中,0,1,7.29
西城,3,1,108,低,1,0,6.97
东城,2,1,56.1,中,1,0,8.15
东城,1,1,38.3,高,1,0,6.7
东城,1,1,59.6,高,1,1,8.32
海淀,3,1,84.5,中,1,1,7.65
海淀,2,1,54.1,中,1,1,7.56
海淀,2,2,106,低,1,1,6.42
西城,2,1,59.1,低,1,1,8.58
石景山,2,2,53.5,中,0,0,4.98
朝阳,2,1,105.1,中,1,0,4.58
西城,2,0,56,低,1,0,10.23
海淀,2,2,89.1,中,0,0,6.81
丰台,2,2,75.9,低,1,0,4.74
西城,2,1,75.9,中,1,0,9.41
西城,2,1,89,中,1,1,9.51
东城,2,1,70.3,中,1,1,8.4
东城,3,2,122.8,高,1,1,8.23
东城,1,1,42.8,低,1,1,10.03
丰台,2,1,92.2,低,1,0,5.15
石景山,2,1,68.4,高,1,0,4.24
海淀,2,1,52.6,高,1,0,7.09
丰台,4,2,204.3,高,0,0,5.6
丰台,2,1,63.2,高,1,0,5.18
东城,1,1,51.6,中,1,0,6.14
东城,1,1,44.6,中,1,1,8.91
东城,1,1,58.5,中,1,0,7.2
石景山,3,2,119.7,低,0,0,5.54
海淀,2,1,62.7,高,1,0,7.77
西城,2,1,75.6,高,1,0,7.47
海淀,1,0,39.6,中,1,1,10.72
丰台,1,1,53,高,1,0,4.42
朝阳,3,2,174.9,高,1,0,6.64
西城,2,1,49.1,中,1,1,8.7
丰台,3,1,80.3,高,0,0,4.44
海淀,4,2,222.7,中,0,0,7.78
东城,3,1,148.8,高,0,0,5.82
丰台,2,2,116,低,1,0,5.33
海淀,1,0,42.4,低,1,0,7.28
石景山,2,1,65.3,中,1,0,4.34
石景山,2,2,109.9,高,0,0,5.4
海淀,2,1,53.7,高,1,1,9.86
丰台,3,2,148,中,1,0,4.5
西城,3,1,72.8,低,0,0,6.39
东城,2,1,75.9,低,1,0,6.74
海淀,2,1,51.8,低,1,1,9.9
丰台,3,1,150.1,高,1,1,5.03
海淀,2,1,59,高,0,0,7.22
西城,1,1,48,中,0,0,6.92
丰台,2,1,114.2,低,1,0,4.44
东城,2,0,50.8,中,1,1,9.81
东城,2,1,60.1,高,1,1,8.91
海淀,1,1,62.4,低,1,0,5.76
东城,2,1,68.4,高,1,0,6.05
西城,2,1,72.5,中,1,1,9.53
东城,3,1,56.9,中,1,0,8.14
丰台,2,1,68.3,高,0,0,3.75
西城,3,2,127.4,中,1,1,10.39
石景山,2,2,63.9,低,0,0,4.16
西城,2,1,50.4,低,0,0,8.03
朝阳,2,2,82.1,高,0,0,5.32
西城,2,1,137.7,高,1,1,9.9
西城,3,1,104.3,低,1,1,10.85
西城,1,1,66.6,中,1,0,7.52
海淀,3,1,81.8,高,1,1,8.82
东城,2,1,81.9,低,1,1,9.84
朝阳,2,1,60.2,低,1,0,4.79
东城,1,1,126.7,中,1,1,6.73
朝阳,3,2,164.2,低,1,0,6.54
丰台,2,1,99.9,低,0,0,5.26
海淀,1,1,65.4,中,1,1,7.86
东城,1,1,42.8,低,1,1,10.28
海淀,3,1,90.3,低,1,1,8.92
西城,2,2,115.5,中,1,0,6.72
海淀,3,2,117.1,高,1,1,8.02
海淀,3,1,151.8,高,1,0,6.12
东城,1,1,48.2,中,1,0,7.58
东城,2,1,69.2,中,1,0,6.63
朝阳,2,1,86.2,低,1,0,6.93
丰台,2,2,70.3,低,1,0,5.08
朝阳,2,1,133,低,1,0,6.3
海淀,2,1,57.7,中,1,0,7.63
丰台,3,2,150.6,中,1,0,4.42
东城,3,1,107.9,高,1,0,7.49
海淀,3,2,126.8,中,1,0,7.15
东城,5,2,287.7,高,1,1,6.48
石景山,2,1,63.6,高,0,0,3.46
东城,2,2,104.2,高,1,1,8.35
丰台,2,1,75.7,中,1,0,5.37
丰台,2,1,116.3,低,1,0,4.49
海淀,2,2,86.8,中,1,1,8.67
石景山,1,2,60,低,0,0,5.16
海淀,3,2,183.3,中,1,1,7.6
石景山,2,1,74.2,高,0,0,3.52
石景山,2,1,75.9,中,1,0,4.68
东城,2,0,45.9,低,1,0,8.64
丰台,3,2,139.3,高,1,0,4.08
朝阳,2,1,125.6,中,1,0,4.91
海淀,3,2,130.6,中,1,1,6.74
东城,2,1,96.9,低,1,1,8.44
西城,2,1,60.6,低,1,0,7.62
朝阳,2,2,118.5,中,1,0,5.87
西城,2,1,45.7,中,1,1,11.2
丰台,4,2,141.9,中,1,0,5.81
丰台,3,2,130.6,高,1,0,4.56
西城,1,1,61.2,低,1,0,8.52
海淀,2,2,113.5,中,1,0,6.87
西城,1,1,45.5,中,1,1,9.26
海淀,3,1,71.7,低,1,0,8.46
朝阳,4,2,262.5,中,0,0,6.11
朝阳,4,2,238.5,中,1,0,5.86
海淀,3,2,79.1,高,1,1,9.29
东城,3,1,145.4,中,1,1,9.5
西城,2,1,63.8,高,1,1,10.54
西城,2,1,55.6,中,0,1,9.52
丰台,1,1,72.6,中,1,1,6.08
石景山,2,1,79.9,高,0,0,4.32
西城,1,1,61.8,高,1,0,6.44
海淀,4,1,72.5,高,1,1,7.11
东城,2,1,50.3,高,1,1,9.57
东城,1,1,67.9,高,1,0,5.91
朝阳,3,2,289.6,中,1,1,7
丰台,1,1,61.8,高,1,0,3.97
丰台,2,1,99.2,高,1,0,5.33
西城,3,2,244.8,中,0,0,6.63
东城,1,0,76.8,高,1,0,7.15
朝阳,4,2,213.5,高,1,1,6.54
丰台,2,1,58.9,高,1,0,4.63
东城,4,2,179.8,中,1,0,7
海淀,2,1,60.4,高,1,1,8.64
西城,1,1,55.7,中,1,1,9.08
石景山,3,1,61.8,中,1,0,4.79
西城,1,1,46,中,0,1,8.86
朝阳,2,1,117.1,中,1,0,5.51
丰台,3,1,97.7,中,1,0,5.46
海淀,2,1,101.8,高,0,1,5.65
西城,2,1,59.1,高,1,0,7.17
东城,1,1,65.3,低,1,1,8.6
东城,2,1,54.2,高,1,0,6.08
西城,2,1,92.8,低,1,0,8.44
西城,3,0,60.6,高,1,1,11.32
石景山,2,1,86.9,中,0,0,4.85
海淀,1,1,56.7,低,1,0,6.85
东城,2,1,55.9,低,1,0,8.09
石景山,2,1,58.4,高,1,0,3.8
海淀,2,1,96.9,低,0,1,6.61
海淀,2,2,125.1,高,0,0,6.1
东城,1,0,38.7,高,1,1,8.41
海淀,1,1,49.2,低,1,1,9.5
东城,2,1,60.9,高,1,0,5.67
朝阳,3,2,164.3,高,1,0,6.53
石景山,2,1,61.9,高,0,0,3.86
石景山,2,1,105.3,高,0,0,3.66
海淀,2,1,48.3,低,1,1,10.43
东城,2,2,73.7,高,1,0,6.83
西城,1,1,57.4,中,1,0,6.81
东城,2,1,93.1,低,1,1,7.12
海淀,2,1,119.9,高,1,0,8.16
东城,2,1,113.9,低,1,1,8.17
朝阳,1,0,46.5,高,1,0,6.24
海淀,3,2,139.5,中,1,1,8.39
海淀,3,2,157,中,1,1,9.97
东城,2,1,112.5,低,1,1,9.04
丰台,2,2,96.7,高,1,0,6.09
石景山,2,1,79.7,高,1,0,4.63
西城,1,1,47.7,高,1,0,10.47
西城,2,1,55,高,1,0,8.98
东城,1,1,71.6,中,1,1,8.13
丰台,2,0,53.5,高,0,0,3.81
海淀,1,1,60.6,低,1,1,7.64
西城,2,1,64.4,中,1,0,9.39
海淀,4,2,205.7,高,1,0,8.79
朝阳,1,1,74.1,低,1,0,5.54
丰台,1,1,54,高,0,0,4.8
朝阳,3,2,162.8,中,1,0,4.74
东城,2,2,91.7,高,0,0,8.52
海淀,1,1,58.1,高,1,0,7.6
东城,2,1,79.4,低,1,1,6.68
丰台,3,2,143.6,低,1,0,4.57
东城,3,2,157.9,中,1,0,7.97
丰台,2,2,89,低,0,0,4.28
石景山,2,1,49.3,低,1,0,4.43
东城,3,1,128,低,1,1,9.93
朝阳,3,2,160.6,高,1,0,5.55
西城,1,1,50,低,0,0,6.47
丰台,1,1,46.7,低,1,0,5.27
西城,2,1,59.9,低,1,0,6.97
海淀,3,1,98,低,1,0,7.01
朝阳,3,1,96.8,中,1,1,5.4
丰台,3,2,162.2,中,1,0,4.61
西城,2,1,52.5,中,1,1,10.04
石景山,2,1,95.7,高,1,0,4.35
东城,1,1,61.6,低,1,1,8.43
西城,1,1,53.9,低,1,0,6.82
东城,2,1,156.5,中,1,0,5.52
西城,1,2,73.8,低,1,1,9.2
东城,4,2,238,中,1,1,9.03
东城,1,0,78.4,高,1,0,7.22
朝阳,3,2,134.2,低,1,0,7.19
东城,3,1,155.8,高,1,0,5.77
石景山,2,1,59.4,低,1,0,4.42
朝阳,2,1,61.5,中,1,0,4.79
丰台,2,1,101.3,中,0,0,4.48
朝阳,1,1,63,中,1,0,4.56
西城,1,1,60.5,中,1,0,7.58
东城,2,2,66.6,高,1,1,8.99
朝阳,1,1,52.3,低,1,0,5.07
东城,3,2,133.3,中,1,1,7.86
东城,1,1,61.7,低,1,1,9.16
西城,2,1,64.7,高,1,1,9.88
丰台,3,2,146.4,低,1,0,4.63
朝阳,2,2,106.9,中,1,0,5.07
朝阳,3,2,130.1,低,1,1,7.49
朝阳,2,1,95.5,低,1,0,4.98
西城,3,1,110.6,低,1,1,9.43
丰台,1,2,60.6,低,0,0,4.29
东城,1,1,89.6,中,1,0,7.21
东城,1,0,31.7,高,1,1,7.5
丰台,1,1,58.1,中,1,0,5.26
丰台,2,1,56.6,低,1,0,5.08
西城,2,2,125.3,低,1,0,10.05
朝阳,2,2,89.1,低,1,0,5.72
朝阳,2,2,116.9,中,1,0,5.55
石景山,3,1,80.4,低,0,0,4.27
朝阳,4,3,240.7,低,0,0,4.67
海淀,2,1,59.8,中,1,1,8.98
海淀,2,2,108.8,低,1,1,8.58
东城,3,0,72.1,高,0,1,7.42
海淀,2,1,76.6,中,1,0,5.93
朝阳,2,1,52.6,中,1,0,6.65
东城,3,1,68.7,低,1,1,9.89
石景山,2,1,59.6,高,1,1,4.68
丰台,3,1,107,高,1,0,4.74
石景山,2,1,51.7,高,0,0,3.57
朝阳,2,1,92.4,低,1,0,4.51
西城,3,2,95.6,低,1,1,8.35
西城,2,1,56.1,中,1,1,9.74
朝阳,1,2,68.1,中,1,0,5.32
朝阳,2,1,86,低,1,0,6.54
朝阳,3,2,129.8,中,1,0,6.45
东城,1,1,47.7,低,1,0,6.21
海淀,1,0,53.3,高,1,0,7.77
丰台,2,2,76.6,中,1,0,4.61
丰台,2,1,87.2,低,1,0,3.94
东城,3,2,180.3,高,1,1,7.39
海淀,2,1,61.5,中,1,0,8.19
朝阳,2,2,88.1,高,1,0,5.14
东城,1,1,68.9,低,1,0,6.79
西城,4,2,263.1,高,1,1,7.16
东城,2,1,59.5,低,1,1,9.13
海淀,1,2,69.2,中,1,1,9.12
西城,3,1,73.9,中,1,0,8.38
西城,1,1,38.8,低,1,0,8.76
朝阳,3,2,120.7,高,1,0,4.78
石景山,2,1,57.6,高,1,0,4.29
海淀,2,1,62.5,高,0,1,5.87
海淀,2,1,57.4,低,1,0,7.58
丰台,2,1,93.9,低,0,0,4.31
东城,2,1,73.9,高,1,1,9.79
西城,2,1,62.1,中,0,1,9.8
朝阳,1,1,67.3,低,1,0,4.71
石景山,3,2,221.9,高,0,0,5.52
西城,2,2,75.5,低,1,0,8.43
东城,3,2,105.7,高,1,1,7.87
东城,3,1,123.5,低,1,1,8.66
海淀,2,1,60.1,低,1,0,7.06
丰台,3,2,210.7,高,1,0,5.38
海淀,3,2,148.5,中,1,0,6.12
西城,2,1,51.9,高,1,1,8.22
朝阳,2,1,66.4,低,1,0,5.59
西城,3,1,77.2,低,0,1,10.01
丰台,1,1,49.3,中,1,1,4.8
丰台,2,2,103.3,低,1,0,5.12
朝阳,1,0,45.4,低,1,0,4.57
海淀,2,1,101.9,低,1,1,6.69
丰台,2,1,90.4,低,1,0,4.73
朝阳,1,1,59.7,低,0,0,4.78
丰台,1,1,53.3,低,1,0,4.53
朝阳,2,1,88.7,低,0,0,3.95
西城,2,2,69.4,中,0,1,11.34
西城,2,1,77.8,中,1,0,8.49
丰台,3,2,203.2,低,0,0,5.33
丰台,2,1,96,中,1,0,5.57
朝阳,4,2,160.2,高,1,0,6.57
丰台,2,1,80.2,低,1,0,4.39
丰台,2,2,99.6,中,0,0,5.13
东城,1,0,30.6,中,1,1,9
东城,1,0,63.7,中,1,0,6.8
丰台,1,1,62.3,低,0,0,5.02
丰台,1,1,68,中,0,0,4.9
石景山,2,1,68.7,低,1,0,4.51
海淀,3,2,158.3,中,0,0,6.44
东城,1,1,61.9,中,1,1,7.27
西城,2,1,76.2,高,1,0,8.25
丰台,1,1,48.9,高,1,0,5.21
西城,2,1,90.9,低,1,0,8.6
东城,2,1,66.2,高,1,1,9.44
石景山,1,1,94.4,低,0,0,4.92
石景山,2,1,93.9,中,1,0,3.94
丰台,3,1,92.3,高,1,0,4.92
东城,1,1,57.8,低,1,1,9.64
西城,2,1,62,高,1,1,8.9
朝阳,2,1,59.5,中,1,1,7.82
朝阳,3,2,140.1,高,1,0,5.68
海淀,3,0,63.3,中,1,0,7.08
丰台,2,2,89,低,1,0,5.35
海淀,1,0,57.6,低,1,1,9.27
东城,3,2,108,高,1,1,8.13
西城,2,1,49.4,中,1,0,8.09
石景山,2,1,61.2,低,0,0,4.29
海淀,4,2,161.6,中,1,1,7.24
西城,2,1,60.6,低,1,1,10.12
石景山,1,0,46,中,1,0,4.78
朝阳,1,1,80.2,高,1,1,4.73
石景山,1,1,60.4,高,1,0,4.23
东城,1,1,90.1,高,1,0,5.64
石景山,1,1,68,中,0,0,3.93
东城,2,1,61.2,低,1,0,8.08
丰台,2,2,98.8,高,1,0,5.79
海淀,1,1,63.6,高,0,0,7.05
东城,2,2,93.4,低,1,0,8.69
海淀,3,1,81.5,中,1,1,9.76
海淀,3,1,76.8,高,1,1,8.63
海淀,1,0,52.2,低,1,0,5.75
海淀,2,2,111.2,低,1,0,6.21
石景山,2,1,56.1,高,1,0,4.27
西城,1,1,65.7,低,1,1,11.7
丰台,2,1,78.7,低,0,0,3.89
丰台,3,1,65.2,高,1,0,4.55
朝阳,2,1,59.2,中,1,0,4.57
朝阳,3,2,152.3,中,1,0,5.83
丰台,2,1,58.7,中,1,0,4.92
石景山,2,1,83,低,0,0,4.35
朝阳,2,1,57.7,低,1,0,4.72
海淀,2,2,107.4,中,0,1,7.38
丰台,2,1,96.6,高,1,0,3.8
东城,4,1,247,中,1,0,6.74
东城,3,1,81.5,高,1,0,7.73
石景山,2,1,67.1,高,0,0,3.91
西城,3,2,153.6,低,1,0,8.69
丰台,1,1,45.3,中,0,0,4.1
朝阳,3,2,153.2,中,1,0,5.3
海淀,3,1,95.5,高,1,0,5.91
海淀,1,1,38.5,高,1,0,8.13
丰台,3,2,148.4,中,1,0,5.16
东城,2,1,83.1,中,1,1,7.52
西城,1,1,46.8,中,0,0,8.13
东城,3,2,250.5,低,1,0,7.56
海淀,2,1,59.5,高,1,1,10.15
东城,3,2,128.8,高,1,0,8.41
海淀,2,1,49.7,中,1,0,9.11
东城,2,1,77.1,高,1,1,8.25
朝阳,2,1,70.5,高,1,1,4.73
丰台,4,2,127.1,高,1,0,4.62
朝阳,2,1,64.3,中,1,0,5.52
丰台,1,1,37.9,中,1,0,4.03
海淀,3,2,132.8,中,0,1,6.31
丰台,3,1,65.5,中,1,0,4.82
丰台,3,1,122.1,中,1,0,4.46
丰台,4,2,109.9,高,0,0,4.18
东城,2,0,58.5,中,0,1,7.34
海淀,3,1,100.8,高,0,0,6.35
丰台,2,1,58.5,高,1,0,4.76
石景山,1,1,48.4,中,1,0,5.08
石景山,3,1,142.3,低,1,0,5.39
海淀,3,1,68.8,低,1,1,8.89
东城,3,1,75.4,中,1,1,9.19
朝阳,3,2,121,中,1,0,5.96
丰台,1,1,66.2,高,0,0,3.38
朝阳,3,2,150.1,中,1,1,5.51
海淀,3,0,74.7,低,1,1,7.63
丰台,2,1,97.6,低,0,0,4.28
海淀,2,0,54.4,高,1,0,6.23
西城,3,1,87.9,高,1,1,8.48
西城,2,1,57.1,高,1,1,10.62
朝阳,2,2,115.3,高,1,1,5.54
石景山,2,1,91.7,中,1,0,5.01
西城,1,1,52.8,高,1,0,9.92
石景山,5,2,215.5,高,0,0,5.3
东城,1,1,59,低,1,1,6.84
西城,3,0,90.8,高,1,0,9.39
西城,2,1,71.7,高,1,1,11.25
石景山,2,1,65.8,低,1,0,5.11
朝阳,2,1,61.3,高,1,0,4.92
石景山,2,1,66.2,高,1,0,4
西城,3,1,98.7,高,1,1,10.7
西城,2,1,73.8,中,1,0,7.64
海淀,2,1,82.7,低,0,0,4.66
东城,1,1,39.7,低,0,0,4.84
东城,1,1,40.9,中,1,0,8.17
海淀,2,1,59.1,中,1,0,6.13
朝阳,2,2,103.5,低,1,0,5.35
西城,4,2,151.4,高,1,0,6.42
海淀,1,1,41.6,中,1,1,9.87
丰台,2,2,101.1,低,0,0,4.68
朝阳,3,2,131,低,1,0,6.48
